planet_name,host_star,biosignature_score,habitability_score,detectability_score,biosignature_potential,stellar_activity,radius_earth,mass_earth,orbital_period,equilibrium_temp,stellar_temp,discovery_year,ml_prediction,ml_class,ml_confidence
TOI-2285 b,TOI-2285,90.0,35.0,30.0,25.0,0.0,1.74,19.5,27.26955,284.0,3491.0,2021,4,Prime Target,1.0
TOI-6002 b,TOI-6002,90.0,35.0,30.0,20.0,5.0,1.65,,10.904821,321.4,3229.0,2024,4,Prime Target,1.0
TOI-2095 c,TOI-2095,90.0,35.0,30.0,25.0,0.0,1.33,7.4,28.17232,297.0,3759.0,2023,4,Prime Target,1.0
TOI-5799 c,TOI-5799,90.0,35.0,30.0,20.0,5.0,1.76,,14.010449,337.0,3452.0,2025,4,Prime Target,1.0
LP 890-9 c,LP 890-9,90.0,35.0,30.0,20.0,5.0,1.367,25.3,8.457463,272.0,2850.0,2022,4,Prime Target,1.0
K2-3 d,K2-3,90.0,35.0,30.0,20.0,5.0,1.458,2.2,44.55603,305.2,3844.0,2015,4,Prime Target,1.0
Kepler-235 e,Kepler-235,85.0,35.0,30.0,20.0,0.0,1.79,,46.18510056,266.0,3887.0,2014,4,Prime Target,1.0
TOI-406.01,TOI-406,85.0,35.0,30.0,20.0,0.0,1.9602373,,13.1757294,344.17,3349.0,2024,3,High Priority,0.9997157145485515
K2-3 d,K2-3,85.0,35.0,30.0,20.0,0.0,1.51,,44.55983,282.0,3896.0,2015,4,Prime Target,1.0
Kepler-205 c,Kepler-205,85.0,35.0,30.0,20.0,0.0,1.22,,20.30707932,345.0,3834.0,2014,4,Prime Target,1.0
K2-3 d,K2-3,85.0,35.0,30.0,20.0,0.0,1.62,1.6,44.556456,312.0,3835.0,2015,4,Prime Target,1.0
Kepler-231 c,Kepler-231,85.0,35.0,30.0,20.0,0.0,1.69,,19.26930046,345.0,3767.0,2014,4,Prime Target,1.0
