tid,toi,toidisplay,toipfx,ctoi_alias,pl_pnum,tfopwg_disp,st_tmag,st_tmagerr1,st_tmagerr2,st_tmagsymerr,st_tmaglim,rastr,ra,raerr1,raerr2,rasymerr,decstr,dec,decerr1,decerr2,decsymerr,st_pmra,st_pmraerr1,st_pmraerr2,st_pmrasymerr,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdecsymerr,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidsymerr,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbpersymerr,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhsymerr,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandepsymerr,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radesymerr,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insolsymerr,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtsymerr,pl_eqtlim,st_dist,st_disterr1,st_disterr2,st_distsymerr,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_teffsymerr,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_loggsymerr,st_logglim,st_rad,st_raderr1,st_raderr2,st_radsymerr,st_radlim,sectors,toi_created,rowupdate,release_date
16288184,"1049.01","TOI-1049.01","1049","16288184.01",1,"KP",11.0657000,0.006,-0.006,1,0,"16h55m04.52s",253.7688480,,,,"-28d42m38.1s",-28.7105840,,,,-8.5680000,0.100,-0.100,1,0,-5.5620000,0.055,-0.055,1,0,2459363.8213930,0.000699,-0.000699,1,0,2.1805277,0.0000027,-0.0000027,1,0,2.9691750,0.0407210,-0.0407210,1,0,16340.1353205,426.8955700,-426.8955700,1,0,16.8088530,0.8821375,-0.8821375,1,0,1770.4650539,,,,,1654.4040680,,,,,314.9950000,7.0655000,-7.0655000,1,0,6599.0000000,200.0000000,-200.0000000,1,0,4.2101700,1.9641100,-1.9641100,1,0,1.2714601,0.0635578,-0.0635578,1,0,,"2019-07-15 19:20:04","2022-03-30 16:02:02","2025-09-28 22:48:44"
144065872,"105.01","TOI-105.01","105","144065872.01",1,"KP",9.4995000,0.006,-0.006,1,0,"22h29m49.88s",337.4578240,,,,"-48d00m11.16s",-48.0030990,,,,91.9760000,0.052,-0.052,1,0,-6.8610000,0.069,-0.069,1,0,2459084.5850100,0.000110,-0.000110,1,0,2.1846669,0.0000005,-0.0000005,1,0,2.8652800,0.0090748,-0.0090748,1,0,11708.0228549,34.9285660,-34.9285660,1,0,13.7028527,0.6619751,-0.6619751,1,0,1362.1381428,,,,,1549.4409801,,,,,137.5440000,0.7905000,-0.7905000,1,0,5630.0000000,,,1,0,4.3775900,,,1,0,1.2382400,0.0596985,-0.0596985,1,0,,"2018-09-05 18:49:20","2025-03-25 16:00:01","2025-09-28 22:48:44"
66818296,"1050.01","TOI-1050.01","1050","66818296.01",1,"KP",11.0261000,0.006,-0.006,1,0,"15h59m50.94s",239.9622480,,,,"-28d03m42.46s",-28.0617940,,,,-8.1000000,0.102,-0.102,1,0,-9.6390000,0.055,-0.055,1,0,2459355.5456300,0.000257,-0.000257,1,0,3.7354838,0.0000021,-0.0000021,1,0,4.1420000,0.0450000,-0.0450000,1,0,17030.0000000,0.2717320,-0.2717320,1,0,21.2315000,1.1957900,-1.1957900,1,0,1292.1900000,,,,,1670.0000000,,,,,405.9080000,8.6000000,-8.6000000,1,0,6650.0000000,,,1,0,4.1639000,,,1,0,1.5700000,0.0900000,-0.0900000,1,0,,"2019-07-15 19:20:05","2022-10-05 10:10:01","2025-09-28 22:48:44"
259863352,"1051.01","TOI-1051.01","1051","259863352.01",1,"FA",7.1278000,0.006,-0.006,1,0,"02h41m27.83s",40.3659390,,,,"-71d27m45.9s",-71.4627490,,,,168.1700000,2.000,-2.000,1,0,-56.0400000,2.000,-2.000,1,0,2458657.7366250,0.007425,-0.007425,1,0,21.7016690,0.0095323,-0.0095323,1,0,8.2676424,0.5088978,-0.5088978,1,0,211.6567325,25.1326920,-25.1326920,1,0,2.3751494,0.6983451,-0.6983451,1,0,52.0950000,,,,,685.2000000,,,,,53.1914900,,,1,0,5625.0000000,80.0000000,-80.0000000,1,0,4.4380000,,,1,0,1.5648600,0.1866290,-0.1866290,1,0,,"2019-08-16 20:20:45","2024-09-17 10:08:02","2025-09-28 22:48:44"
317060587,"1052.01","TOI-1052.01","1052","317060587.01",1,"CP",9.0197000,0.006,-0.006,1,0,"22h30m02.47s",337.5102740,,,,"-75d38m47.62s",-75.6465610,,,,-63.3270000,0.046,-0.046,1,0,-1.9420000,0.044,-0.044,1,0,2458332.9412290,0.002642,-0.002642,1,0,9.1398040,0.0001109,-0.0001109,1,0,3.0912936,0.6627002,-0.6627002,1,0,358.4157801,33.7214740,-33.7214740,1,0,3.0629855,2.8175755,-2.8175755,1,0,243.0117630,,,,,1006.9932829,,,,,129.8040000,0.5575000,-0.5575000,1,0,5958.2000000,76.0000000,-76.0000000,1,0,4.3400000,0.1200000,-0.1200000,1,0,1.5800000,0.1651230,-0.1651230,1,0,,"2019-08-16 20:20:47","2023-07-24 12:03:31","2025-09-28 22:48:44"
112395568,"1053.01","TOI-1053.01","1053","112395568.01",1,"FP",8.8849000,0.006,-0.006,1,0,"19h23m54.51s",290.9771170,,,,"-33d21m05.1s",-33.3514160,,,,-18.6920000,0.065,-0.065,1,0,-8.1920000,0.059,-0.059,1,0,2458657.9991790,0.001553,-0.001553,1,0,5.7426250,0.0006210,-0.0006210,1,0,2.8602930,0.2304990,-0.2304990,1,0,1105.7608670,87.9267300,-87.9267300,1,0,13.0885320,3.6366680,-3.6366680,1,0,,,,,,,,,,,263.7290000,2.8735000,-2.8735000,1,0,5664.0000000,188.0000000,-188.0000000,1,0,3.2657400,0.3552610,-0.3552610,1,0,3.8695900,0.6445680,-0.6445680,1,0,,"2019-08-16 20:20:42","2024-09-19 10:08:01","2025-09-28 22:48:44"
366989877,"1054.01","TOI-1054.01","1054","366989877.01",1,"CP",8.4362000,0.006,-0.006,1,0,"20h08m27.4s",302.1141740,,,,"-54d19m03s",-54.3175010,,,,1.5940000,0.054,-0.054,1,0,-15.9030000,0.049,-0.049,1,0,2460122.7001390,0.019948,-0.019948,1,0,15.5077855,0.0002372,-0.0002372,1,0,4.5650000,0.4270000,-0.4270000,1,0,513.0000000,25.4443000,-25.4443000,1,0,2.4343200,0.1429570,-0.1429570,1,0,88.0718000,,,,,853.0000000,,,,,88.4343000,0.2817500,-0.2817500,1,0,6122.0000000,194.0000000,-194.0000000,1,0,4.3088100,0.2685550,-0.2685550,1,0,1.1700000,0.0500000,-0.0500000,1,0,,"2019-08-16 20:20:48","2023-09-14 16:02:01","2025-09-28 22:48:44"
320004517,"1055.01","TOI-1055.01","1055","320004517.01",1,"CP",8.0888000,0.006,-0.006,1,0,"19h33m08.79s",293.2866150,,,,"-54d31m57.82s",-54.5327280,,,,108.4390000,0.074,-0.074,1,0,-82.6320000,0.052,-0.052,1,0,2458661.0627110,0.000867,-0.000867,1,0,17.4713078,0.0000176,-0.0000176,1,0,4.4284819,0.0990118,-0.0990118,1,0,1199.7541483,28.8726270,-28.8726270,1,0,3.5766828,0.2409907,-0.2409907,1,0,53.3700317,,,,,689.3568807,,,,,57.2651000,0.1869500,-0.1869500,1,0,5783.5400000,7.8242900,-7.8242900,1,0,4.4992500,0.0192310,-0.0192310,1,0,0.9746690,0.0546984,-0.0546984,1,0,,"2019-08-16 20:20:47","2024-10-01 10:08:01","2025-09-28 22:48:44"
421894914,"1056.01","TOI-1056.01","1056","421894914.01",1,"PC",9.6663000,0.006,-0.006,1,0,"22h37m02.09s",339.2587030,,,,"-76d55m03.38s",-76.9176050,,,,9.7160000,0.041,-0.041,1,0,-20.1680000,0.044,-0.044,1,0,2458326.0624240,0.001997,-0.001997,1,0,5.3079507,0.0000191,-0.0000191,1,0,3.2158594,0.2920944,-0.2920944,1,0,391.3830934,26.7662960,-26.7662960,1,0,3.0486928,0.3630359,-0.3630359,1,0,603.2401116,,,,,1263.9861129,,,,,168.3540000,0.6765000,-0.6765000,1,0,6124.3000000,83.0000000,-83.0000000,1,0,4.3800000,0.1600000,-0.1600000,1,0,1.3696300,0.0633668,-0.0633668,1,0,,"2019-08-16 20:20:50","2024-03-14 16:54:32","2025-09-28 22:48:44"
323132914,"1057.01","TOI-1057.01","1057","323132914.01",1,"PC",9.4091000,0.006,-0.006,1,0,"08h31m59.26s",127.9969170,,,,"-78d24m27.23s",-78.4075640,,,,117.7210000,0.081,-0.081,1,0,-24.5650000,0.076,-0.076,1,0,2458607.3509010,0.003080,-0.003080,1,0,51.1701501,0.0001962,-0.0001962,1,0,6.6641048,0.2877187,-0.2877187,1,0,851.4547808,36.1218760,-36.1218760,1,0,2.9366826,0.2657500,-0.2657500,1,0,11.2148229,,,,,466.7322968,,,,,98.2855000,0.2672500,-0.2672500,1,0,5599.0000000,187.0000000,-187.0000000,1,0,4.4613800,0.2699800,-0.2699800,1,0,0.9433560,0.0456583,-0.0456583,1,0,,"2019-08-16 20:20:47","2024-12-05 16:02:02","2025-09-28 22:48:44"
