rank,planet_name,star_name,biosignature_score,habitability_class,earth_similarity_index,radius_earth,mass_earth,orbital_distance_au,equilibrium_temp_k,in_hz_conservative,in_hz_optimistic,source_dataset
1,TRAPPIST-1 f,TRAPPIST-1,66.5433409742135,Alto,0.8271670487106749,1.044160992,0.679936278,0.0371,219.0,False,False,cumulative
2,TRAPPIST-1 e,TRAPPIST-1,66.5229616441806,Alto,0.82614808220903,0.9172628639999999,0.6199419939999999,0.02817,251.3,False,False,cumulative
3,TRAPPIST-1 d,TRAPPIST-1,64.23332728037052,Alto,0.7116663640185262,0.7713801759999999,0.409962,0.02144,288.0,False,False,cumulative
4,TOI-1266 c,TOI-1266,63.34559901279398,Alto,0.6672799506396994,1.5587474559999999,2.199792532,0.1058,344.0,False,False,cumulative
5,TOI-1452 b,TOI-1452,59.82725545488925,Moderado,0.4913627727444621,1.6706604319999998,4.819570476,0.061,326.0,False,False,cumulative
6,TOI-2095 c,TOI-2095,58.97412584843595,Moderado,0.4487062924217973,1.3289344319999998,7.399337400000001,0.137,297.0,False,False,cumulative
7,LHS 1140 b,LHS 1140,58.74501538805153,Moderado,0.43725076940257585,1.42885176,6.649373892,0.0875,230.0,False,False,cumulative
8,Gliese 12 b,Gliese 12,57.39353321683366,Moderado,0.6196766608416829,0.957232416,3.8696535640000005,0.0668,314.6,False,False,cumulative
9,LP 791-18 d,LP 791-18,52.732210348101724,Moderado,0.8866105174050866,1.0311731359999998,0.899920616,0.01992,395.5,False,False,cumulative
10,TRAPPIST-1 g,TRAPPIST-1,51.20283576744234,Moderado,0.8101417883721166,1.1260951519999998,1.3398734019999998,0.0451,198.6,False,False,cumulative
11,HD 23472 f,HD 23472,49.2984162035109,Moderado,0.714920810175545,1.136089024,0.769930882,0.0906,630.0,False,False,cumulative
12,HD 23472 e,HD 23472,48.0999660913725,Moderado,0.6549983045686252,0.8173446400000001,0.719934586,0.068,723.0,False,False,cumulative
13,Kepler-138 c,Kepler-138,47.62896886587763,Moderado,0.6314484432938814,1.508790192,2.299794658,0.0913,410.0,False,False,cumulative
14,TOI-406 c,TOI-406,47.1648230170683,Moderado,0.608241150853415,1.318942464,2.079813498,0.0322,584.0,False,False,cumulative
15,L 98-59 c,L 98-59,46.93826092221202,Moderado,0.5969130461106008,1.348916016,2.419770514,0.0317,517.0,False,False,cumulative
16,Kepler-849 b,Kepler-849,46.721582798109594,Moderado,0.036079139905479576,8.075199999999999,298.73199999999997,1.137,362.7,False,True,cumulative
17,TOI-6324 b,TOI-6324,46.71357058660506,Moderado,0.5856785293302531,1.0581514719999998,1.169894894,,1216.0,False,False,cumulative
18,TOI-771 b,TOI-771,46.64029708844387,Moderado,0.5820148544221934,1.3589103359999999,2.469779522,0.0208,543.0,False,False,cumulative
19,GJ 3473 b,GJ 3473,46.58518268911356,Moderado,0.5792591344556777,1.262985136,1.859825982,0.01589,773.0,False,False,cumulative
20,TOI-1776 b,TOI-1776,45.551192481125824,Moderado,0.5275596240562912,1.215153072,1.399874042,0.0378,1269.21,False,False,cumulative
21,HD 260655 c,HD 260655,45.263218417800225,Moderado,0.5131609208900111,1.5317716959999998,3.089724694,0.04749,557.0,False,False,cumulative
22,TOI-1453 b,TOI-1453,45.18448677945841,Moderado,0.5092243389729203,1.1720601759999998,2.3197938120000003,,944.2,False,False,cumulative
23,Kepler-102 f,Kepler-102,45.13451697649027,Moderado,0.5067258488245137,0.8603101919999999,4.299614718,0.1656,495.0,False,False,cumulative
24,LP 890-9 c,LP 890-9,44.99813063782672,Moderado,0.2499065318913358,1.3659047359999998,25.29773806,0.03984,272.0,False,False,cumulative
25,TOI-500 b,TOI-500,44.60930307171147,Moderado,0.48046515358557335,1.1650657759999998,1.419873196,0.01189,1617.0,False,False,cumulative
26,Wolf 327 b,Wolf 327,44.52988382601626,Moderado,0.47649419130081266,1.239006496,2.529773806,0.01,996.0,False,False,cumulative
27,K2-266 c,K2-266,44.482724564874445,Moderado,0.47413622824372215,0.7044339679999999,0.29010373,0.0679,664.5,False,False,cumulative
28,TOI-260 b,TOI-260,44.127161074443244,Moderado,0.4563580537221619,1.708629888,4.229622446,0.0943,493.0,False,False,cumulative
29,HD 224018 b,HD 224018,43.27789343387389,Moderado,0.4138946716936948,0.90927088,4.099632712,0.0952,968.0,False,False,cumulative
30,TOI-1799 b,TOI-1799,42.929761389349174,Moderado,0.39648806946745874,1.4212491999999999,3.999643298,0.071,922.72,False,False,cumulative
