kepoi_name,koi_disposition,koi_period,koi_duration,koi_prad,koi_teq,koi_insol,koi_depth,koi_impact,koi_model_snr
K00752.01,CONFIRMED,9.48803557,2.9575,2.26,793.0,93.59,615.8,0.146,35.8
K00752.02,CONFIRMED,54.4183827,4.507,2.83,443.0,9.11,874.8,0.586,25.8
K00753.01,CANDIDATE,19.89913995,1.7822,14.6,638.0,39.3,10829.0,0.969,76.3
K00754.01,FALSE POSITIVE,1.736952453,2.40641,33.46,1395.0,891.96,8079.2,1.276,505.6
K00755.01,CONFIRMED,2.525591777,1.6545,2.75,1406.0,926.16,603.3,0.701,40.9
K00756.01,CONFIRMED,11.09432054,4.5945,3.9,835.0,114.81,1517.5,0.538,66.5
K00756.02,CONFIRMED,4.13443512,3.1402,2.77,1160.0,427.65,686.0,0.762,40.2
K00756.03,CONFIRMED,2.56658897,2.429,1.59,1360.0,807.74,226.5,0.755,15.0
K00114.01,FALSE POSITIVE,7.36178958,5.022,39.21,1342.0,767.22,233.7,1.169,47.7
K00757.01,CONFIRMED,16.06864674,3.5347,5.76,600.0,30.75,4914.3,0.052,161.9
K00001.01,CONFIRMED,2.470613377,1.74319,13.04,1339.0,761.46,14230.9,0.818,4304.3
K00002.01,CONFIRMED,2.204735417,3.88864,16.1,2048.0,4148.92,6674.7,0.224,5945.9
K00010.01,CONFIRMED,3.522498429,3.19843,14.59,1521.0,1264.67,9145.7,0.631,1741.5
K00112.02,CONFIRMED,3.709214104,2.6302,1.16,1206.0,500.46,131.1,0.051,50.6
K00742.01,FALSE POSITIVE,11.521446064,3.6399,150.51,753.0,75.88,17984.3,2.483,622.1
K00743.01,FALSE POSITIVE,19.40393776,12.2155,7.18,523.0,17.69,8918.7,0.804,214.7
K00744.01,FALSE POSITIVE,19.221388942,4.79843,49.29,698.0,55.97,74284.0,1.065,2317.0
K00745.01,FALSE POSITIVE,16.46983774,9.4378,7.94,595.0,29.61,10478.9,0.292,303.4
K00746.01,CONFIRMED,9.27358173,3.2875,2.47,649.0,41.85,1288.3,0.387,87.2
K00747.01,CONFIRMED,6.02930329,1.5821,2.85,678.0,50.04,1912.7,0.258,65.4
K00748.01,FALSE POSITIVE,2.696370652,3.6129,1.58,1066.0,305.34,397.9,0.044,48.2
K00749.01,CONFIRMED,5.349553819,3.0278,2.55,919.0,168.99,831.0,0.092,60.6
K00749.02,CONFIRMED,3.94105221,2.5984,1.7,1018.0,253.15,363.3,0.226,28.9
K00749.03,CONFIRMED,8.10904807,3.596,1.3,800.0,97.03,217.4,0.025,14.1
K00113.01,FALSE POSITIVE,386.6030528,6.8057,41.5,297.0,1.84,24926.6,0.9765,994.0
K00750.01,CONFIRMED,21.67699193,3.4555,2.95,530.0,18.64,857.2,0.896,34.3
K00751.01,CONFIRMED,4.99677968,2.1717,2.78,917.0,166.95,934.7,0.71,28.2
K00769.01,CONFIRMED,4.280963604,2.875,2.3,1012.0,247.87,750.8,0.424,61.8
K00770.01,FALSE POSITIVE,1.50635409,1.5155,4.53,1452.0,1054.12,2211.7,0.86,181.1
K00771.01,FALSE POSITIVE,670.645531,53.412,14.14,196.0,0.35,18090.6,0.701,642.7
K00772.01,FALSE POSITIVE,61.2563628,7.633,39.87,505.0,15.43,5123.3,1.248,85.3
K00773.01,CONFIRMED,38.3775486,5.588,2.82,529.0,18.53,724.2,0.468,34.7
K00757.02,CONFIRMED,41.19725502,4.6297,3.86,439.0,8.76,2213.9,0.045,51.2
K00757.03,CONFIRMED,6.252962249,2.5819,2.65,823.0,108.3,1036.9,0.105,47.1
K00758.01,CONFIRMED,16.01308419,3.2554,3.1,593.0,29.31,1121.9,0.799,33.2
K00759.01,CONFIRMED,32.62876672,4.7971,3.36,506.0,15.55,1804.8,0.021,80.0
K00759.02,CONFIRMED,91.7732862,6.473,2.12,359.0,3.92,652.0,0.606,19.1
K00760.01,CONFIRMED,4.959319244,2.22739,12.21,1103.0,349.4,9802.0,0.831,696.5
K00761.01,FALSE POSITIVE,2.701287801,3.3827,6.54,1222.0,527.81,860.4,1.016,48.3
K00762.01,CONFIRMED,4.49876511,3.7362,2.1,1133.0,389.62,460.0,0.312,29.5
K00763.01,FALSE POSITIVE,19.651209505,5.2514,12.42,730.0,67.03,11766.3,0.723,513.4
K00115.01,CONFIRMED,5.412203927,2.9472,2.94,1093.0,337.68,601.6,0.787,166.7
K00764.01,CONFIRMED,41.43958662,10.5989,5.5,516.0,16.72,2793.1,0.355,141.1
K00765.01,CONFIRMED,8.35389523,2.2514,2.52,790.0,91.9,1041.6,0.023,43.4
K00766.01,CONFIRMED,4.125543472,3.1744,4.43,1243.0,565.35,1487.3,0.597,128.6
K00767.01,CONFIRMED,2.816504904,2.50587,12.21,1219.0,521.13,16813.7,0.105,1406.8
K00768.01,FALSE POSITIVE,33.93373447,14.561,7.34,430.0,8.11,8503.7,0.812,236.1
K00786.01,CONFIRMED,3.689920099,2.6557,1.89,1147.0,408.99,426.7,0.151,35.6
K00787.01,CONFIRMED,4.431238488,3.15,3.25,1104.0,351.23,1010.9,0.405,71.1
K00787.02,CONFIRMED,11.37936986,2.6255,3.95,806.0,99.68,1023.5,0.911,37.9
K00788.01,CONFIRMED,26.39432897,3.573,3.07,489.0,13.49,1510.9,0.602,48.2
K00116.01,CONFIRMED,13.57078281,3.3539,2.64,785.0,89.61,511.7,0.866,88.4
K00115.02,CONFIRMED,7.12594387,3.0014,1.79,997.0,233.31,192.4,0.898,47.1
K00774.01,FALSE POSITIVE,7.442652004,2.3078,15.03,967.0,206.78,24446.2,0.137,835.6
K00775.01,CONFIRMED,16.38489988,3.0249,2.0,433.0,8.35,1127.1,0.001,28.9
K00775.02,CONFIRMED,7.8774163,2.0805,2.16,553.0,22.18,1306.1,0.041,38.7
K00775.03,CONFIRMED,36.4454001,4.007,1.99,332.0,2.88,1122.3,0.028,21.7
K00776.01,CONFIRMED,3.728732147,2.683,6.02,1023.0,258.34,5226.5,0.558,345.2
K00777.01,CANDIDATE,40.4195037,3.362,7.51,467.0,11.29,6256.0,0.911,36.9
K00778.01,CONFIRMED,2.243380573,1.1196,1.99,822.0,107.6,821.7,0.915,38.9
K00779.01,FALSE POSITIVE,10.405998015,6.5036,11.23,833.0,113.94,14488.8,0.324,745.2
K00780.01,CONFIRMED,2.337437946,1.9982,2.34,1070.0,311.16,971.2,0.28,82.4
K00780.02,CANDIDATE,7.2406612,0.558,19.45,734.0,68.63,556.4,1.198,13.7
K00115.03,CANDIDATE,3.43591631,3.133,0.55,1272.0,617.61,23.2,0.624,8.7
K00781.01,CONFIRMED,11.59822233,2.5237,2.65,396.0,5.82,2804.5,0.679,71.0
